,date,ML,Low,High
CE,2020-04-20,1.3800000000000001,1.19,1.59
CE,2020-04-21,1.37,1.18,1.56
CE,2020-04-22,1.4000000000000001,1.22,1.58
CE,2020-04-23,1.43,1.26,1.6
CE,2020-04-24,1.44,1.28,1.6
CE,2020-04-25,1.4000000000000001,1.25,1.56
CE,2020-04-26,1.33,1.19,1.49
CE,2020-04-27,1.22,1.08,1.37
CE,2020-04-28,1.1400000000000001,0.99,1.27
CE,2020-04-29,1.02,0.88,1.16
DF,2020-03-11,2.0,0.34,6.43
DF,2020-03-12,1.8800000000000001,0.38,5.01
DF,2020-03-13,2.17,0.51,4.99
DF,2020-03-14,2.64,0.79,4.99
DF,2020-03-15,2.63,0.97,4.49
DF,2020-03-16,2.7800000000000002,1.33,4.3
DF,2020-03-18,2.63,1.43,3.85
DF,2020-03-19,2.48,1.41,3.54
DF,2020-03-20,2.19,1.25,3.08
DF,2020-03-21,1.9100000000000001,1.08,2.71
DF,2020-03-22,1.71,0.97,2.47
DF,2020-03-23,1.51,0.79,2.19
DF,2020-03-24,1.36,0.6900000000000001,2.0300000000000002
DF,2020-03-25,1.25,0.61,1.9100000000000001
DF,2020-03-26,1.19,0.56,1.83
DF,2020-03-27,1.1300000000000001,0.51,1.76
DF,2020-03-28,1.1,0.48,1.71
DF,2020-03-29,1.1,0.5,1.72
DF,2020-03-30,1.1400000000000001,0.55,1.75
DF,2020-03-31,1.09,0.49,1.67
DF,2020-04-01,1.09,0.51,1.68
DF,2020-04-02,1.04,0.46,1.62
DF,2020-04-03,1.02,0.45,1.61
DF,2020-04-04,0.98,0.4,1.56
DF,2020-04-05,0.87,0.28,1.45
DF,2020-04-06,0.79,0.19,1.37
DF,2020-04-07,0.78,0.19,1.4000000000000001
DF,2020-04-08,0.77,0.16,1.3900000000000001
DF,2020-04-09,0.84,0.2,1.47
DF,2020-04-10,0.9400000000000001,0.28,1.58
DF,2020-04-11,1.03,0.38,1.69
DF,2020-04-12,1.16,0.52,1.81
DF,2020-04-13,1.21,0.59,1.85
DF,2020-04-14,1.25,0.64,1.86
DF,2020-04-15,1.26,0.66,1.84
DF,2020-04-16,1.28,0.71,1.85
DF,2020-04-17,1.24,0.7000000000000001,1.81
DF,2020-04-18,1.27,0.74,1.81
DF,2020-04-19,1.23,0.72,1.76
DF,2020-04-20,1.19,0.6900000000000001,1.71
DF,2020-04-21,1.1300000000000001,0.64,1.6400000000000001
DF,2020-04-22,1.05,0.55,1.54
DF,2020-04-23,1.0,0.5,1.49
DF,2020-04-24,1.06,0.58,1.57
DF,2020-04-25,1.11,0.62,1.59
DF,2020-04-26,1.22,0.76,1.71
DF,2020-04-27,1.37,0.92,1.82
DF,2020-04-28,1.45,1.01,1.86
DF,2020-04-29,1.51,1.11,1.9100000000000001
DF,2020-04-30,1.46,1.09,1.85
ES,2020-03-13,2.0,0.34,6.43
ES,2020-03-14,1.8800000000000001,0.38,5.01
ES,2020-03-15,1.8,0.38,4.45
ES,2020-03-16,2.05,0.5,4.54
ES,2020-03-17,1.8900000000000001,0.47000000000000003,3.98
ES,2020-03-18,2.0,0.56,3.9
ES,2020-03-19,1.84,0.55,3.5300000000000002
ES,2020-03-20,1.83,0.11,3.44
ES,2020-03-21,1.8900000000000001,0.2,3.38
ES,2020-03-22,1.73,0.23,3.15
ES,2020-03-23,1.47,0.11,2.75
ES,2020-03-24,1.42,0.13,2.66
ES,2020-03-25,1.26,0.03,2.38
ES,2020-03-26,1.36,0.15,2.5300000000000002
ES,2020-03-27,1.33,0.13,2.43
ES,2020-03-28,1.3,0.18,2.42
ES,2020-03-29,1.55,0.42,2.66
ES,2020-03-30,1.6300000000000001,0.54,2.64
ES,2020-03-31,1.67,0.6900000000000001,2.64
ES,2020-04-01,1.6300000000000001,0.6900000000000001,2.49
ES,2020-04-02,1.54,0.7000000000000001,2.39
ES,2020-04-03,1.48,0.68,2.27
ES,2020-04-04,1.3900000000000001,0.61,2.12
ES,2020-04-05,1.32,0.5700000000000001,2.02
ES,2020-04-06,1.33,0.64,2.04
ES,2020-04-07,1.36,0.7000000000000001,2.04
ES,2020-04-08,1.41,0.78,2.05
ES,2020-04-09,1.44,0.84,2.04
ES,2020-04-10,1.44,0.88,2.02
ES,2020-04-11,1.49,0.96,2.0300000000000002
ES,2020-04-12,1.61,1.12,2.11
ES,2020-04-13,1.8,1.36,2.2600000000000002
ES,2020-04-14,1.81,1.4000000000000001,2.21
ES,2020-04-15,1.8,1.43,2.16
ES,2020-04-16,1.68,1.34,2.0100000000000002
ES,2020-04-17,1.52,1.2,1.83
ES,2020-04-18,1.36,1.06,1.67
ES,2020-04-19,1.16,0.86,1.45
ES,2020-04-20,0.97,0.6900000000000001,1.29
ES,2020-04-21,0.93,0.63,1.23
ES,2020-04-22,0.8300000000000001,0.53,1.1400000000000001
ES,2020-04-23,0.86,0.54,1.16
ES,2020-04-24,0.97,0.67,1.3
ES,2020-04-25,1.11,0.81,1.43
ES,2020-04-26,1.36,1.07,1.6600000000000001
ES,2020-04-27,1.5,1.24,1.8
ES,2020-04-28,1.51,1.25,1.77
ES,2020-04-29,1.54,1.3,1.79
ES,2020-04-30,1.48,1.25,1.71
GO,2020-03-13,2.0,0.34,6.43
GO,2020-03-14,1.8800000000000001,0.38,5.01
GO,2020-03-15,2.17,0.51,4.99
GO,2020-03-16,1.96,0.5,4.24
GO,2020-03-17,1.83,0.46,3.79
GO,2020-03-18,1.73,0.46,3.52
GO,2020-03-19,1.6600000000000001,0.45,3.31
GO,2020-03-20,1.32,0.0,3.0300000000000002
GO,2020-03-21,1.3,0.0,2.94
GO,2020-03-22,1.28,0.0,2.87
GO,2020-03-23,1.26,0.0,2.81
GO,2020-03-24,1.47,0.01,2.92
GO,2020-03-25,1.62,0.11,3.0500000000000003
GO,2020-03-26,1.7,0.21,3.0700000000000003
GO,2020-03-27,1.59,0.19,2.86
GO,2020-03-28,1.3900000000000001,0.15,2.62
GO,2020-03-29,1.24,0.08,2.39
GO,2020-03-30,1.23,0.07,2.33
GO,2020-03-31,1.11,0.03,2.17
GO,2020-04-01,1.11,0.01,2.13
GO,2020-04-02,1.21,0.09,2.27
GO,2020-04-03,1.29,0.19,2.39
GO,2020-04-04,1.44,0.34,2.5300000000000002
GO,2020-04-05,1.54,0.47000000000000003,2.56
GO,2020-04-06,1.61,0.62,2.58
GO,2020-04-07,1.58,0.67,2.5
GO,2020-04-08,1.51,0.65,2.37
GO,2020-04-09,1.41,0.59,2.22
GO,2020-04-10,1.33,0.54,2.1
GO,2020-04-11,1.34,0.59,2.09
GO,2020-04-12,1.28,0.56,2.0100000000000002
GO,2020-04-13,1.23,0.54,1.95
GO,2020-04-14,1.25,0.55,1.9100000000000001
GO,2020-04-15,1.23,0.58,1.9100000000000001
GO,2020-04-16,1.19,0.53,1.82
GO,2020-04-17,1.16,0.53,1.8
GO,2020-04-18,1.05,0.43,1.69
GO,2020-04-19,1.0,0.36,1.61
GO,2020-04-20,0.9500000000000001,0.33,1.59
GO,2020-04-21,0.87,0.23,1.49
GO,2020-04-22,0.84,0.21,1.49
GO,2020-04-23,0.97,0.33,1.6400000000000001
GO,2020-04-24,1.17,0.51,1.8
GO,2020-04-25,1.36,0.75,1.99
GO,2020-04-26,1.49,0.92,2.09
GO,2020-04-27,1.57,1.04,2.13
GO,2020-04-28,1.56,1.06,2.07
GO,2020-04-29,1.55,1.07,2.0100000000000002
GO,2020-04-30,1.43,0.98,1.87
MA,2020-03-20,2.0,0.34,6.43
MA,2020-03-21,1.8,0.38,4.45
MA,2020-03-22,1.69,0.37,3.85
MA,2020-03-23,1.61,0.41000000000000003,3.56
MA,2020-03-24,1.55,0.38,3.29
MA,2020-03-25,1.5,0.39,3.13
MA,2020-03-26,1.46,0.39,2.99
MA,2020-03-27,1.28,0.0,2.87
MA,2020-03-28,1.73,0.11,3.2600000000000002
MA,2020-03-29,2.15,0.51,3.62
MA,2020-03-30,2.27,0.86,3.59
MA,2020-03-31,2.15,0.92,3.29
MA,2020-04-01,1.8900000000000001,0.81,2.93
MA,2020-04-02,1.79,0.8,2.72
MA,2020-04-03,1.71,0.8200000000000001,2.58
MA,2020-04-04,1.77,0.97,2.57
MA,2020-04-05,1.78,1.06,2.5100000000000002
MA,2020-04-06,1.74,1.07,2.39
MA,2020-04-07,1.7,1.09,2.3000000000000003
MA,2020-04-08,1.6500000000000001,1.1,2.22
MA,2020-04-09,1.54,1.01,2.05
MA,2020-04-10,1.46,0.98,1.97
MA,2020-04-11,1.43,0.9500000000000001,1.8800000000000001
MA,2020-04-12,1.4000000000000001,0.96,1.85
MA,2020-04-13,1.43,1.01,1.85
MA,2020-04-14,1.55,1.17,1.96
MA,2020-04-15,1.6500000000000001,1.3,2.0300000000000002
MA,2020-04-16,1.7,1.37,2.04
MA,2020-04-17,1.6500000000000001,1.34,1.95
MA,2020-04-18,1.54,1.24,1.81
MA,2020-04-19,1.44,1.17,1.71
MA,2020-04-20,1.36,1.1,1.62
MA,2020-04-21,1.25,1.0,1.5
MA,2020-04-22,1.17,0.92,1.41
MA,2020-04-23,1.11,0.88,1.37
MA,2020-04-24,1.06,0.8200000000000001,1.3
MA,2020-04-25,1.06,0.8200000000000001,1.3
MA,2020-04-26,1.12,0.89,1.36
MA,2020-04-27,1.22,0.99,1.45
MA,2020-04-28,1.31,1.09,1.53
MA,2020-04-29,1.37,1.16,1.58
MA,2020-04-30,1.3900000000000001,1.19,1.59
MG,2020-03-12,2.0,0.34,6.43
MG,2020-03-13,1.8800000000000001,0.38,5.01
MG,2020-03-14,2.17,0.51,4.99
MG,2020-03-16,2.64,0.79,4.99
MG,2020-03-17,2.4,0.77,4.2
MG,2020-03-18,2.38,0.9400000000000001,3.93
MG,2020-03-19,2.39,1.1300000000000001,3.73
MG,2020-03-20,2.5300000000000002,1.32,3.7
MG,2020-03-21,2.31,1.29,3.31
MG,2020-03-22,2.0300000000000002,1.1300000000000001,2.9
MG,2020-03-23,1.74,0.93,2.5500000000000003
MG,2020-03-24,1.59,0.8300000000000001,2.33
MG,2020-03-25,1.41,0.71,2.14
MG,2020-03-26,1.28,0.61,1.99
MG,2020-03-27,1.18,0.5,1.84
MG,2020-03-28,1.1400000000000001,0.49,1.81
MG,2020-03-29,1.1400000000000001,0.5,1.8
MG,2020-03-30,1.21,0.59,1.86
MG,2020-03-31,1.25,0.65,1.8800000000000001
MG,2020-04-01,1.33,0.74,1.92
MG,2020-04-02,1.4000000000000001,0.85,1.97
MG,2020-04-03,1.37,0.84,1.9100000000000001
MG,2020-04-04,1.32,0.81,1.84
MG,2020-04-05,1.28,0.78,1.77
MG,2020-04-06,1.22,0.74,1.71
MG,2020-04-07,1.19,0.71,1.6500000000000001
MG,2020-04-08,1.1500000000000001,0.7000000000000001,1.6300000000000001
MG,2020-04-09,1.1,0.65,1.57
MG,2020-04-10,1.07,0.62,1.53
MG,2020-04-11,1.05,0.6,1.5
MG,2020-04-12,1.01,0.5700000000000001,1.47
MG,2020-04-13,1.0,0.55,1.45
MG,2020-04-14,1.0,0.55,1.45
MG,2020-04-15,1.01,0.5700000000000001,1.47
MG,2020-04-16,1.06,0.62,1.51
MG,2020-04-17,1.1300000000000001,0.7000000000000001,1.58
MG,2020-04-18,1.12,0.68,1.54
MG,2020-04-19,1.1400000000000001,0.72,1.57
MG,2020-04-20,1.1,0.6900000000000001,1.53
MG,2020-04-21,1.09,0.68,1.51
MG,2020-04-22,1.09,0.68,1.5
MG,2020-04-23,1.07,0.67,1.48
MG,2020-04-24,1.07,0.68,1.49
MG,2020-04-25,1.09,0.71,1.51
MG,2020-04-26,1.11,0.73,1.52
MG,2020-04-27,1.16,0.79,1.56
MG,2020-04-28,1.17,0.79,1.54
MG,2020-04-29,1.18,0.8200000000000001,1.56
MG,2020-04-30,1.17,0.81,1.53
MS,2020-03-14,2.0,0.34,6.43
MS,2020-03-15,1.8800000000000001,0.38,5.01
MS,2020-03-16,1.8,0.38,4.45
MS,2020-03-17,2.05,0.5,4.54
MS,2020-03-18,1.8900000000000001,0.47000000000000003,3.98
MS,2020-03-19,1.78,0.48,3.67
MS,2020-03-20,1.8900000000000001,0.54,3.62
MS,2020-03-21,1.62,0.0,3.23
MS,2020-03-22,1.53,0.0,3.0500000000000003
MS,2020-03-23,1.24,0.0,2.75
MS,2020-03-24,1.0,0.0,2.54
MS,2020-03-25,1.0,0.0,2.54
MS,2020-03-26,1.0,0.0,2.54
MS,2020-03-27,1.0,0.0,2.54
MS,2020-03-28,1.23,0.0,2.69
MS,2020-03-29,1.22,0.0,2.64
MS,2020-03-30,1.59,0.11,2.99
MS,2020-03-31,1.51,0.12,2.85
MS,2020-04-01,1.31,0.04,2.54
MS,2020-04-02,1.29,0.06,2.5
MS,2020-04-03,1.0,0.01,2.19
MS,2020-04-04,1.0,0.01,2.19
MS,2020-04-05,1.0,0.01,2.19
MS,2020-04-06,1.0,0.01,2.19
MS,2020-04-07,1.1400000000000001,0.01,2.29
MS,2020-04-08,1.26,0.03,2.38
MS,2020-04-09,1.24,0.08,2.39
MS,2020-04-10,1.34,0.16,2.49
MS,2020-04-11,1.11,0.01,2.13
MS,2020-04-12,1.1,0.04,2.15
MS,2020-04-13,1.1,0.03,2.12
MS,2020-04-14,1.0,0.01,2.0100000000000002
MS,2020-04-15,1.2,0.12,2.27
MS,2020-04-16,1.36,0.25,2.44
MS,2020-04-17,1.33,0.25,2.36
MS,2020-04-18,1.3800000000000001,0.35000000000000003,2.41
MS,2020-04-19,1.21,0.22,2.17
MS,2020-04-20,1.07,0.13,1.99
MS,2020-04-21,1.07,0.13,1.98
MS,2020-04-22,1.0,0.07,1.87
MS,2020-04-23,1.0,0.07,1.87
MS,2020-04-24,1.1300000000000001,0.19,2.06
MS,2020-04-25,1.1300000000000001,0.2,2.05
MS,2020-04-26,1.12,0.21,2.04
MS,2020-04-27,1.12,0.22,2.0300000000000002
MS,2020-04-28,1.0,0.13,1.87
MS,2020-04-29,0.88,0.03,1.69
MS,2020-04-30,0.75,0.0,1.57
MT,2020-03-20,2.0,0.34,6.43
MT,2020-03-22,1.8,0.38,4.45
MT,2020-03-23,1.69,0.37,3.85
MT,2020-03-24,1.61,0.41000000000000003,3.56
MT,2020-03-25,1.55,0.38,3.29
MT,2020-03-26,1.6600000000000001,0.45,3.31
MT,2020-03-27,1.59,0.45,3.09
MT,2020-03-30,1.69,0.09,3.16
MT,2020-03-31,1.59,0.11,2.99
MT,2020-04-01,1.82,0.34,3.2
MT,2020-04-02,1.68,0.29,2.92
MT,2020-04-03,1.69,0.43,2.91
MT,2020-04-04,1.49,0.33,2.63
MT,2020-04-05,1.52,0.39,2.58
MT,2020-04-06,1.31,0.27,2.33
MT,2020-04-07,1.36,0.35000000000000003,2.36
MT,2020-04-08,1.2,0.22,2.13
MT,2020-04-09,1.19,0.25,2.13
MT,2020-04-10,1.06,0.14,1.94
MT,2020-04-11,1.0,0.1,1.86
MT,2020-04-12,0.87,0.04,1.72
MT,2020-04-13,0.87,0.03,1.72
MT,2020-04-14,0.8,0.0,1.6400000000000001
MT,2020-04-15,0.86,0.0,1.71
MT,2020-04-16,0.78,0.01,1.68
MT,2020-04-17,0.85,0.0,1.74
MT,2020-04-18,0.84,0.01,1.77
MT,2020-04-19,1.0,0.03,1.93
MT,2020-04-20,1.08,0.09,2.05
MT,2020-04-21,1.23,0.19,2.21
MT,2020-04-22,1.29,0.29,2.29
MT,2020-04-23,1.4000000000000001,0.42,2.37
MT,2020-04-24,1.31,0.37,2.24
MT,2020-04-25,1.28,0.38,2.19
MT,2020-04-26,1.16,0.29,2.04
MT,2020-04-27,1.1,0.24,1.95
